order_id,order_date,customer_id,order_status,product_id
1,2024-10-30,546,Delivered,278
2,2026-04-25,2951,Pending,20
3,2025-01-06,2397,Pending,665
4,2026-03-24,3167,Delivered,390
5,2025-03-16,4166,Returned,102
6,2025-05-01,2585,Delivered,612
7,2026-05-18,4355,Delivered,204
8,2025-10-04,4102,Returned,575
9,2025-01-24,177,Delivered,945
10,2025-03-27,4337,Delivered,502
11,2025-03-24,3223,Shipped,19
12,2026-05-30,2841,Delivered,364
13,2025-03-30,2477,Delivered,514
14,2024-06-20,2260,Shipped,641
15,2025-05-04,2111,Pending,912
16,2024-12-24,242,Returned,972
17,2025-02-22,2296,Delivered,350
18,2026-01-21,3219,Delivered,90
19,2024-07-17,3132,Delivered,695
20,2025-02-02,1864,Delivered,587
21,2025-09-17,1252,Delivered,320
22,2024-11-23,4960,Delivered,556
23,2024-08-07,1080,Delivered,142
24,2024-09-17,4760,Delivered,820
25,2025-08-02,1658,Pending,317
26,2025-05-03,4292,Pending,441
27,2025-11-08,1190,Delivered,579
28,2025-11-09,1295,Delivered,571
29,2024-09-13,4367,Returned,122
30,2024-10-19,1509,Delivered,901
31,2026-01-04,1193,Shipped,784
32,2026-05-31,2611,Pending,424
33,2024-12-25,3369,Delivered,764
34,2026-02-14,2243,Delivered,193
35,2024-08-10,875,Delivered,27
36,2026-04-19,2187,Delivered,628
37,2025-09-27,1892,Delivered,237
38,2026-02-17,214,Delivered,705
39,2024-09-16,3905,Delivered,867
40,2024-12-16,4954,Delivered,666
41,2025-06-16,3064,Delivered,397
42,2024-11-24,4026,Delivered,168
43,2025-11-27,1584,Delivered,419
44,2026-06-07,123,Pending,974
45,2025-11-18,3384,Delivered,688
46,2024-10-22,1662,Shipped,68
47,2024-09-02,1451,Pending,450
48,2024-10-04,4014,Delivered,888
49,2025-01-19,3749,Pending,438
50,2025-01-17,3317,Shipped,623
51,2024-08-09,3117,Shipped,404
52,2026-02-06,4686,Delivered,538
53,2025-03-26,316,Delivered,463
54,2025-02-18,3743,Shipped,44
55,2026-05-05,2013,Delivered,406
56,2025-05-06,322,Delivered,529
57,2025-12-22,404,Delivered,451
58,2025-03-11,3261,Pending,793
59,2025-08-10,2343,Delivered,433
60,2026-02-20,2412,Delivered,56
61,2026-05-12,4236,Pending,475
62,2026-04-10,3701,Delivered,513
63,2025-02-11,928,Delivered,600
64,2025-04-01,4477,Delivered,424
65,2024-11-21,2650,Delivered,184
66,2024-12-12,3717,Delivered,730
67,2025-06-19,1655,Pending,93
68,2025-07-23,2049,Delivered,665
69,2026-01-24,1344,Shipped,127
70,2025-03-19,748,Delivered,461
71,2024-09-20,2974,Delivered,725
72,2026-05-24,3147,Shipped,999
73,2024-09-21,4192,Delivered,164
