payment_id,payment_date,payment_mode,payment_status,order_id
1,2024-12-28,PayPal,Paid,1
2,2024-11-13,Credit Card,Pending,2
3,2025-03-18,Credit Card,Pending,3
4,2024-07-25,Gift Card,Paid,4
5,2025-10-07,Gift Card,Paid,5
6,2025-04-24,UPI,Paid,6
7,2026-01-28,PayPal,Paid,7
8,2025-06-18,Debit Card,Paid,8
9,2026-05-02,Credit Card,Paid,9
10,2025-03-13,Gift Card,Paid,10
11,2025-05-26,PayPal,Paid,11
12,2026-05-21,Gift Card,Paid,12
13,2024-10-16,Debit Card,Paid,13
14,2024-08-07,Credit Card,Paid,14
15,2026-03-17,Gift Card,Pending,15
16,2025-12-09,PayPal,Paid,16
17,2025-10-09,UPI,Paid,17
18,2025-12-05,Credit Card,Paid,18
19,2024-11-18,UPI,Paid,19
20,2024-11-28,PayPal,Paid,20
21,2024-06-16,UPI,Paid,21
22,2026-03-18,UPI,Paid,22
23,2024-11-24,UPI,Paid,23
24,2025-10-20,Gift Card,Paid,24
25,2025-02-27,Debit Card,Pending,25
26,2026-05-22,Credit Card,Pending,26
27,2025-12-01,UPI,Paid,27
28,2024-07-26,UPI,Paid,28
29,2025-05-12,Credit Card,Paid,29
30,2024-12-20,UPI,Paid,30
31,2026-01-17,Gift Card,Paid,31
32,2026-03-10,Gift Card,Pending,32
33,2024-06-25,Gift Card,Paid,33
34,2024-12-05,Debit Card,Paid,34
35,2026-05-16,Credit Card,Paid,35
36,2025-12-03,PayPal,Paid,36
37,2026-01-21,Credit Card,Paid,37
38,2026-01-26,Gift Card,Paid,38
39,2025-11-15,UPI,Paid,39
40,2024-11-06,Gift Card,Paid,40
41,2026-01-24,Gift Card,Paid,41
42,2026-04-28,Gift Card,Paid,42
43,2024-09-24,UPI,Paid,43
44,2025-08-04,Credit Card,Pending,44
45,2026-03-03,UPI,Paid,45
46,2024-08-30,Debit Card,Paid,46
47,2024-11-27,PayPal,Pending,47
48,2025-11-22,UPI,Paid,48
49,2025-11-28,PayPal,Pending,49
50,2025-10-24,Credit Card,Paid,50
51,2024-09-01,Gift Card,Paid,51
52,2024-12-17,Debit Card,Paid,52
53,2025-12-25,Debit Card,Paid,53
54,2025-08-19,Debit Card,Paid,54
55,2024-09-15,Debit Card,Paid,55
56,2025-01-07,PayPal,Paid,56
57,2025-09-02,Debit Card,Paid,57
58,2024-08-01,PayPal,Pending,58
59,2025-04-21,Debit Card,Paid,59
60,2025-07-07,Debit Card,Paid,60
61,2025-03-19,Gift Card,Pending,61
62,2024-10-02,Gift Card,Paid,62
63,2025-08-25,Credit Card,Paid,63
64,2024-07-15,Debit Card,Paid,64
65,2024-09-22,PayPal,Paid,65
66,2025-02-06,Credit Card,Paid,66
67,2024-12-20,UPI,Pending,67
68,2026-01-28,Credit Card,Paid,68
69,2025-04-03,Debit Card,Paid,69
70,2025-11-12,Credit Card,Paid,70
71,2024-09-03,Debit Card,Paid,71
72,2025-10-19,Debit Card,Paid,72
73,2025-05-14,Gift Card,Paid,73
74,2026-01-19,PayPal,Paid,74
75,2025-10-03,UPI,Pending,75
76,2024-08-01,Gift Card,Paid,76
77,2025-01-04,Gift Card,Paid,77
78,2024-06-21,Debit Card,Paid,78
79,2025-10-10,Credit Card,Paid,79
80,2025-02-27,Gift Card,Pending,80
81,2026-04-22,Gift Card,Paid,81
82,2025-09-24,Gift Card,Paid,82
83,2025-06-03,Debit Card,Paid,83
84,2026-01-30,PayPal,Pending,84
85,2025-05-11,PayPal,Paid,85
86,2025-02-21,UPI,Paid,86
87,2026-01-28,PayPal,Paid,87
88,2026-01-12,Gift Card,Paid,88
89,2025-05-22,Debit Card,Paid,89
90,2025-11-25,UPI,Paid,90
91,2025-09-02,Credit Card,Paid,91
92,2025-01-31,Credit Card,Paid,92
93,2025-07-24,PayPal,Paid,93
94,2025-03-13,PayPal,Paid,94
95,2024-11-29,PayPal,Paid,95
96,2025-05-09,Credit Card,Paid,96
97,2024-12-02,Credit Card,Paid,97
98,2025-03-02,PayPal,Paid,98
99,2024-09-27,PayPal,Paid,99
100,2025-03-28,Gift Card,Pending,100
101,2025-10-04,Credit Card,Paid,101
102,2024-12-09,Credit Card,Paid,102
103,2025-09-06,PayPal,Paid,103
104,2025-11-22,Gift Card,Paid,104
105,2025-09-09,PayPal,Paid,105
106,2026-06-04,UPI,Paid,106
107,2025-11-02,PayPal,Refunded,107
108,2025-12-14,PayPal,Paid,108
109,2026-03-11,UPI,Paid,109
110,2024-11-19,PayPal,Paid,110
111,2026-02-22,UPI,Pending,111
112,2026-06-07,Gift Card,Paid,112
113,2025-10-06,Debit Card,Paid,113
114,2026-04-27,Debit Card,Paid,114
115,2025-07-08,Credit Card,Paid,115
116,2025-08-19,UPI,Paid,116
117,2025-04-10,Credit Card,Paid,117
118,2024-09-28,UPI,Paid,118
119,2024-11-18,Credit Card,Paid,119
120,2025-11-17,UPI,Paid,120
121,2026-03-18,PayPal,Paid,121
122,2024-08-27,Credit Card,Paid,122
123,2025-12-12,PayPal,Paid,123
124,2025-01-06,Credit Card,Paid,124
125,2026-02-25,Gift Card,Paid,125
126,2026-03-20,UPI,Paid,126
127,2026-03-30,Debit Card,Pending,127
128,2026-05-30,UPI,Paid,128
129,2024-07-16,UPI,Paid,129
130,2025-12-16,Credit Card,Pending,130
131,2026-03-24,Debit Card,Paid,131
132,2025-01-22,Credit Card,Pending,132
133,2025-07-16,Debit Card,Paid,133
134,2025-05-18,Credit Card,Paid,134
135,2025-09-09,Credit Card,Paid,135
136,2024-08-02,Debit Card,Paid,136
137,2024-10-22,Debit Card,Paid,137
138,2025-07-14,Credit Card,Paid,138
139,2024-10-30,UPI,Paid,139
140,2025-04-18,Gift Card,Paid,140
141,2026-03-02,Credit Card,Paid,141
142,2026-04-10,Debit Card,Paid,142
143,2025-04-28,Credit Card,Pending,143
144,2024-08-13,Credit Card,Paid,144
145,2025-07-18,PayPal,Paid,145
146,2024-11-09,Credit Card,Paid,146
147,2025-06-02,Credit Card,Pending,147
148,2025-08-21,Credit Card,Paid,148
149,2025-04-10,Credit Card,Paid,149
150,2025-08-15,PayPal,Paid,150
151,2025-05-11,Debit Card,Paid,151
152,2025-03-16,PayPal,Paid,152
153,2025-01-12,UPI,Paid,153
154,2024-08-13,UPI,Paid,154
155,2025-09-02,Gift Card,Paid,155
156,2024-10-14,Credit Card,Paid,156
157,2026-03-18,Debit Card,Paid,157
158,2024-11-22,Gift Card,Paid,158
159,2025-04-23,PayPal,Paid,159
160,2025-10-19,Credit Card,Paid,160
161,2024-09-22,Credit Card,Paid,161
162,2025-11-09,UPI,Paid,162
163,2026-02-26,Credit Card,Paid,163
164,2025-02-12,PayPal,Paid,164
165,2024-10-23,Credit Card,Paid,165
166,2024-11-20,Credit Card,Paid,166
167,2026-03-04,Credit Card,Paid,167
168,2026-05-01,UPI,Paid,168
169,2024-09-01,PayPal,Paid,169
170,2025-07-18,PayPal,Paid,170
171,2025-07-27,PayPal,Paid,171
172,2026-01-03,Credit Card,Paid,172
173,2024-11-19,Debit Card,Paid,173
174,2024-07-28,PayPal,Paid,174
175,2024-09-07,Debit Card,Paid,175
176,2026-05-10,Debit Card,Pending,176
177,2026-04-20,PayPal,Paid,177
178,2024-07-24,Credit Card,Paid,178
179,2025-11-02,PayPal,Paid,179
180,2025-07-12,PayPal,Paid,180
181,2025-09-21,PayPal,Paid,181
182,2025-12-27,Debit Card,Paid,182
183,2025-11-09,Gift Card,Paid,183
184,2024-09-18,Debit Card,Pending,184
185,2025-12-08,Credit Card,Paid,185
186,2026-05-21,UPI,Paid,186
187,2024-06-17,Gift Card,Paid,187
188,2025-03-17,Credit Card,Paid,188
189,2026-02-12,Gift Card,Paid,189
190,2025-03-04,Credit Card,Paid,190
191,2025-08-24,Gift Card,Paid,191
192,2025-02-09,Credit Card,Paid,192
193,2026-03-08,Credit Card,Paid,193
194,2025-08-12,Debit Card,Paid,194
195,2025-12-30,Credit Card,Paid,195
196,2024-12-10,Credit Card,Paid,196
197,2025-01-09,PayPal,Paid,197
198,2024-12-11,PayPal,Paid,198
199,2026-02-07,Credit Card,Paid,199
200,2024-08-27,Credit Card,Paid,200
201,2025-12-11,Debit Card,Paid,201
202,2025-11-22,UPI,Paid,202
203,2026-01-20,Credit Card,Paid,203
204,2025-06-22,Gift Card,Paid,204
205,2024-07-31,PayPal,Paid,205
206,2025-10-12,UPI,Paid,206
207,2025-02-18,Debit Card,Paid,207
208,2025-08-21,UPI,Paid,208
209,2025-07-21,Gift Card,Paid,209
210,2024-10-11,PayPal,Paid,210
211,2025-02-09,PayPal,Pending,211
212,2025-12-26,Gift Card,Paid,212
213,2026-02-18,Gift Card,Paid,213
214,2025-05-22,PayPal,Paid,214
215,2026-06-08,Gift Card,Paid,215
216,2025-02-16,Debit Card,Paid,216
217,2025-10-11,Credit Card,Pending,217
218,2025-05-07,Debit Card,Paid,218
219,2024-11-03,UPI,Refunded,219
220,2025-10-17,Debit Card,Paid,220
221,2026-06-02,Debit Card,Paid,221
222,2025-11-18,Credit Card,Paid,222
223,2025-03-14,UPI,Paid,223
224,2025-04-06,Debit Card,Paid,224
225,2025-11-14,PayPal,Pending,225
226,2026-01-17,Gift Card,Paid,226
227,2025-11-10,Credit Card,Paid,227
228,2025-01-31,Credit Card,Paid,228
229,2026-01-18,Gift Card,Paid,229
230,2025-02-05,Debit Card,Paid,230
231,2025-10-26,Debit Card,Paid,231
232,2025-04-11,Gift Card,Paid,232
233,2024-09-17,Credit Card,Paid,233
234,2025-05-25,Gift Card,Paid,234
235,2026-02-01,UPI,Paid,235
236,2026-02-08,Gift Card,Paid,236
237,2025-06-21,UPI,Pending,237
238,2025-02-02,Credit Card,Paid,238
239,2025-01-21,Debit Card,Paid,239
240,2026-03-11,PayPal,Paid,240
241,2024-09-18,UPI,Paid,241
242,2025-08-11,UPI,Paid,242
243,2025-05-13,UPI,Paid,243
244,2025-05-26,Gift Card,Pending,244
245,2025-07-15,Debit Card,Paid,245
246,2026-02-14,PayPal,Paid,246
247,2026-04-27,PayPal,Paid,247
248,2024-08-30,PayPal,Paid,248
249,2024-12-07,UPI,Refunded,249
250,2025-06-25,UPI,Paid,250
251,2024-10-17,Credit Card,Pending,251
252,2025-03-14,PayPal,Paid,252
253,2026-05-28,Gift Card,Paid,253
254,2025-07-14,Gift Card,Paid,254
255,2025-03-29,PayPal,Paid,255
256,2024-10-21,UPI,Paid,256
257,2025-09-01,Credit Card,Paid,257
258,2025-05-01,Credit Card,Paid,258
259,2025-03-31,Credit Card,Paid,259
260,2026-02-08,Debit Card,Paid,260
261,2025-10-07,PayPal,Paid,261
262,2025-05-03,PayPal,Paid,262
263,2025-11-18,PayPal,Paid,263
264,2026-06-10,Credit Card,Paid,264
265,2024-08-13,UPI,Paid,265
266,2024-11-12,Gift Card,Paid,266
267,2025-02-10,Gift Card,Paid,267
268,2024-09-15,PayPal,Paid,268
269,2025-08-16,Gift Card,Pending,269
270,2024-11-27,Credit Card,Paid,270
271,2024-11-25,Gift Card,Paid,271
272,2024-09-18,Credit Card,Paid,272
273,2026-01-21,UPI,Pending,273
274,2026-03-29,Debit Card,Paid,274
275,2026-03-19,Debit Card,Paid,275
276,2025-08-20,Debit Card,Paid,276
277,2025-03-15,Debit Card,Paid,277
278,2026-03-06,Gift Card,Paid,278
279,2025-06-06,Gift Card,Paid,279
280,2026-02-10,UPI,Paid,280
281,2024-07-29,PayPal,Paid,281
282,2024-08-14,UPI,Paid,282
283,2026-01-28,UPI,Paid,283
284,2025-09-07,UPI,Pending,284
285,2025-04-14,PayPal,Pending,285
286,2024-12-30,PayPal,Paid,286
287,2025-05-14,UPI,Paid,287
288,2026-01-13,PayPal,Pending,288
289,2026-02-04,Debit Card,Paid,289
290,2026-01-21,Debit Card,Paid,290
291,2025-12-17,PayPal,Paid,291
292,2025-06-04,UPI,Paid,292
293,2024-07-11,Credit Card,Paid,293
294,2024-09-10,UPI,Paid,294
295,2025-11-18,Gift Card,Paid,295
296,2025-06-08,PayPal,Paid,296
297,2025-01-29,Credit Card,Paid,297
298,2025-06-03,Credit Card,Paid,298
299,2025-08-06,PayPal,Paid,299
300,2024-12-29,Gift Card,Paid,300
301,2024-07-23,Debit Card,Paid,301
302,2024-11-10,Gift Card,Paid,302
303,2025-04-07,PayPal,Paid,303
304,2025-12-24,Gift Card,Pending,304
305,2024-07-11,UPI,Paid,305
306,2025-05-08,PayPal,Paid,306
307,2025-08-17,Credit Card,Paid,307
308,2024-09-30,Debit Card,Paid,308
309,2025-11-03,Gift Card,Paid,309
310,2024-11-21,Credit Card,Paid,310
311,2024-07-05,UPI,Paid,311
312,2025-06-14,Credit Card,Paid,312
313,2025-05-03,PayPal,Paid,313
314,2024-08-13,Debit Card,Paid,314
315,2024-08-12,Debit Card,Paid,315
316,2025-09-01,UPI,Paid,316
317,2025-06-11,Gift Card,Paid,317
318,2025-03-17,Gift Card,Paid,318
319,2025-03-12,Credit Card,Pending,319
320,2025-04-03,Debit Card,Paid,320
321,2025-03-29,Gift Card,Paid,321
322,2025-10-29,Debit Card,Paid,322
323,2026-01-22,PayPal,Paid,323
324,2025-12-09,Gift Card,Paid,324
325,2024-11-21,PayPal,Paid,325
326,2026-01-14,PayPal,Paid,326
