shipping_id,order_id,delivery_status,shipping_date,return_date
1,1,Delivered,2024-11-27,
2,2,Pending,2024-08-15,
3,3,Pending,2026-03-29,
4,4,Delivered,2024-09-12,
5,5,Returned,2024-06-26,2025-06-26
6,6,Delivered,2025-09-22,
7,7,Delivered,2025-07-23,
8,8,Returned,2025-11-02,2026-05-10
9,9,Delivered,2024-09-02,
10,10,Delivered,2025-01-12,
11,11,Shipped,2026-02-19,
12,12,Delivered,2024-09-01,
13,13,Delivered,2025-01-19,
14,14,Shipped,2024-12-24,
15,15,Pending,2025-12-28,
16,16,Returned,2025-04-20,2026-02-14
17,17,Delivered,2026-06-10,
18,18,Delivered,2026-03-26,
19,19,Delivered,2024-08-12,
20,20,Delivered,2024-09-15,
21,21,Delivered,2026-02-24,
22,22,Delivered,2025-06-23,
23,23,Delivered,2024-11-25,
24,24,Delivered,2025-02-26,
25,25,Pending,2025-09-22,
26,26,Pending,2026-01-20,
27,27,Delivered,2024-12-19,
28,28,Delivered,2026-01-11,
29,29,Returned,2024-09-18,2025-08-07
30,30,Delivered,2024-06-10,
31,31,Shipped,2024-08-17,
32,32,Pending,2026-01-08,
33,33,Delivered,2025-11-16,
34,34,Delivered,2025-06-26,
35,35,Delivered,2026-01-01,
36,36,Delivered,2026-01-23,
37,37,Delivered,2026-05-07,
38,38,Delivered,2024-07-15,
39,39,Delivered,2025-10-25,
40,40,Delivered,2024-10-07,
41,41,Delivered,2026-01-01,
42,42,Delivered,2025-06-22,
43,43,Delivered,2025-03-01,
44,44,Pending,2024-09-25,
45,45,Delivered,2024-10-25,
46,46,Shipped,2026-03-30,
47,47,Pending,2025-08-08,
48,48,Delivered,2025-11-02,
49,49,Pending,2026-03-10,
50,50,Shipped,2024-09-18,
51,51,Shipped,2025-04-15,
52,52,Delivered,2024-06-22,
53,53,Delivered,2025-06-04,
54,54,Shipped,2024-12-16,
55,55,Delivered,2024-07-06,
56,56,Delivered,2025-04-11,
57,57,Delivered,2025-03-23,
58,58,Pending,2025-07-23,
59,59,Delivered,2024-11-04,
60,60,Delivered,2025-10-31,
61,61,Pending,2024-12-06,
62,62,Delivered,2025-09-07,
63,63,Delivered,2025-09-01,
64,64,Delivered,2025-04-02,
65,65,Delivered,2024-11-21,
66,66,Delivered,2025-04-23,
67,67,Pending,2025-03-15,
68,68,Delivered,2025-10-22,
69,69,Shipped,2026-01-01,
70,70,Delivered,2025-04-21,
71,71,Delivered,2024-11-25,
72,72,Shipped,2024-08-05,
73,73,Delivered,2026-02-06,
74,74,Delivered,2024-12-22,
75,75,Pending,2025-01-28,
76,76,Delivered,2025-01-30,
77,77,Shipped,2026-03-15,
78,78,Delivered,2026-02-18,
79,79,Delivered,2026-06-05,
80,80,Pending,2026-02-18,
81,81,Delivered,2025-09-30,
82,82,Delivered,2024-10-05,
83,83,Delivered,2026-03-16,
84,84,Pending,2025-07-04,
85,85,Delivered,2025-10-17,
86,86,Delivered,2025-05-26,
87,87,Delivered,2026-02-23,
88,88,Delivered,2026-01-14,
89,89,Shipped,2025-11-04,
90,90,Delivered,2025-05-03,
91,91,Delivered,2024-12-10,
92,92,Delivered,2026-05-25,
93,93,Delivered,2024-08-06,
94,94,Delivered,2025-07-02,
95,95,Delivered,2026-05-16,
96,96,Delivered,2025-07-12,
97,97,Returned,2025-05-21,2025-06-12
98,98,Delivered,2025-02-22,
99,99,Shipped,2025-03-16,
100,100,Pending,2026-03-01,
101,101,Shipped,2026-01-15,
102,102,Delivered,2026-03-24,
103,103,Delivered,2025-05-25,
104,104,Delivered,2025-11-18,
105,105,Delivered,2025-03-20,
106,106,Delivered,2026-03-21,
107,107,Cancelled,2025-04-21,
108,108,Returned,2025-10-05,2026-05-06
109,109,Delivered,2025-05-30,
110,110,Delivered,2025-03-01,
111,111,Pending,2025-05-29,
112,112,Delivered,2024-08-21,
113,113,Delivered,2025-05-19,
114,114,Delivered,2025-03-23,
115,115,Delivered,2024-11-30,
116,116,Delivered,2025-08-27,
117,117,Shipped,2024-06-29,
118,118,Delivered,2025-11-28,
119,119,Shipped,2024-07-11,
120,120,Delivered,2024-09-21,
121,121,Delivered,2025-08-31,
122,122,Delivered,2026-01-05,
123,123,Shipped,2024-12-19,
124,124,Delivered,2025-04-12,
125,125,Delivered,2025-08-03,
126,126,Delivered,2025-11-29,
127,127,Pending,2025-12-05,
128,128,Shipped,2026-05-07,
129,129,Delivered,2024-10-04,
130,130,Pending,2025-01-19,
131,131,Delivered,2025-07-27,
132,132,Pending,2025-09-09,
133,133,Delivered,2025-09-23,
134,134,Delivered,2026-02-25,
135,135,Delivered,2026-01-05,
136,136,Delivered,2025-08-29,
137,137,Shipped,2024-12-09,
138,138,Delivered,2026-04-05,
139,139,Delivered,2025-03-11,
140,140,Delivered,2025-02-19,
141,141,Shipped,2025-06-24,
142,142,Delivered,2025-06-04,
143,143,Pending,2025-01-19,
144,144,Shipped,2025-11-30,
145,145,Delivered,2024-10-17,
146,146,Delivered,2024-06-18,
147,147,Pending,2025-12-04,
148,148,Delivered,2026-04-07,
149,149,Delivered,2025-05-07,
